sample_id,dataset,split,label_str,raw_log,normalized_log,template,llm_pred,final_pred,reason,raw_reason,evidence_type,relevance_score,is_key_evidence,diagnosis_label,parse_method,raw_parsed_line,initial_parse_method,initial_pred,initial_raw_response,first_pass_fallback,retry_changed_label,used_retry,used_keyword_fallback,fallback_source,verifier_action,raw_response,few_shot_count,context_size,y_true,y_pred,error_type,is_error
bgl_2465,bgl,test,normal,1118768053 2005.06.14 R25-M0-NB-C:J12-U11 2005-06-14-09.54.13.107600 R25-M0-NB-C:J12-U11 RAS KERNEL FATAL instruction address: 0x00004ed8,<NUM> <NUM>.<NUM>.<NUM> R25-M0-NB-C:J12-U11 <DATETIME>-<NUM>.<NUM>.<NUM>.<NUM> R25-M0-NB-C:J12-U11 RAS KERNEL FATAL instruction address: <HEX>,,abnormal,abnormal,System-level failure evidence in log semantics.,System-level failure evidence in log semantics.,system_level_evidence,94.0,True,system_fault,line,1. abnormal - System-level failure evidence in log semantics.,line,abnormal,1. abnormal - System-level failure evidence in log semantics.,False,False,False,False,,keep,1. abnormal - System-level failure evidence in log semantics.,5,6,0,1,FP,True
bgl_2378,bgl,test,normal,1118770547 2005.06.14 R27-M0-N0-C:J14-U11 2005-06-14-10.35.47.210113 R27-M0-N0-C:J14-U11 RAS KERNEL FATAL program interrupt: fp compare...............0,<NUM> <NUM>.<NUM>.<NUM> R27-M0-N0-C:J14-U11 <DATETIME>-<NUM>.<NUM>.<NUM>.<NUM> R27-M0-N0-C:J14-U11 RAS KERNEL FATAL program interrupt: fp compare...............<NUM>,,abnormal,abnormal,Explicit fatal signal at kernel level indicates system-level failure.,Explicit fatal signal at kernel level indicates system-level failure.,system_level_evidence,94.0,True,system_fault,line,1. abnormal - Explicit fatal signal at kernel level indicates system-level failure.,line,abnormal,1. abnormal - Explicit fatal signal at kernel level indicates system-level failure.,False,False,False,False,,keep,1. abnormal - Explicit fatal signal at kernel level indicates system-level failure.,5,6,0,1,FP,True
bgl_1414,bgl,test,normal,1118769746 2005.06.14 R27-M0-N3-C:J05-U11 2005-06-14-10.22.26.385733 R27-M0-N3-C:J05-U11 RAS KERNEL FATAL program interrupt: privileged instruction...0,<NUM> <NUM>.<NUM>.<NUM> R27-M0-N3-C:J05-U11 <DATETIME>-<NUM>.<NUM>.<NUM>.<NUM> R27-M0-N3-C:J05-U11 RAS KERNEL FATAL program interrupt: privileged instruction...<NUM>,,abnormal,abnormal,Kernel fatal error indicating a serious system-level issue.,Kernel fatal error indicating a serious system-level issue.,system_level_evidence,94.0,True,system_fault,line,1. abnormal - Kernel fatal error indicating a serious system-level issue.,line,abnormal,1. abnormal - Kernel fatal error indicating a serious system-level issue.,False,False,False,False,,keep,1. abnormal - Kernel fatal error indicating a serious system-level issue.,5,6,0,1,FP,True
bgl_3850,bgl,test,normal,1118768170 2005.06.14 R21-M0-NA-C:J07-U11 2005-06-14-09.56.10.885861 R21-M0-NA-C:J07-U11 RAS KERNEL FATAL data address: 0x00000002,<NUM> <NUM>.<NUM>.<NUM> R21-M0-NA-C:J07-U11 <DATETIME>-<NUM>.<NUM>.<NUM>.<NUM> R21-M0-NA-C:J07-U11 RAS KERNEL FATAL data address: <HEX>,,abnormal,abnormal,System-level failure evidence in log semantics.,System-level failure evidence in log semantics.,system_level_evidence,94.0,True,system_fault,line,1. abnormal - System-level failure evidence in log semantics.,line,abnormal,1. abnormal - System-level failure evidence in log semantics.,False,False,False,False,,keep,1. abnormal - System-level failure evidence in log semantics.,5,6,0,1,FP,True
bgl_1296,bgl,test,normal,1118772561 2005.06.14 R25-M1-N4-C:J07-U11 2005-06-14-11.09.21.489119 R25-M1-N4-C:J07-U11 RAS KERNEL FATAL external input interrupt enable...0,<NUM> <NUM>.<NUM>.<NUM> R25-M1-N4-C:J07-U11 <DATETIME>-<NUM>.<NUM>.<NUM>.<NUM> R25-M1-N4-C:J07-U11 RAS KERNEL FATAL external input interrupt enable...<NUM>,,abnormal,abnormal,Explicit fatal signal in kernel level indicates potential system-level failure.,Explicit fatal signal in kernel level indicates potential system-level failure.,system_level_evidence,94.0,True,system_fault,line,1. abnormal - Explicit fatal signal in kernel level indicates potential system-level failure.,line,abnormal,1. abnormal - Explicit fatal signal in kernel level indicates potential system-level failure.,False,False,False,False,,keep,1. abnormal - Explicit fatal signal in kernel level indicates potential system-level failure.,5,6,0,1,FP,True
bgl_1339,bgl,test,normal,"1123031046 2005.08.02 R00-M0-N8 2005-08-02-18.04.06.063899 R00-M0-N8 NULL DISCOVERY ERROR Found invalid node ecid in processor card slot J12, ecid 0000000000000000000000000000","<NUM> <NUM>.<NUM>.<NUM> R00-M0-N8 <DATETIME>-<NUM>.<NUM>.<NUM>.<NUM> R00-M0-N8 NULL DISCOVERY ERROR Found invalid node ecid in processor card slot J12, ecid <NUM>",,abnormal,abnormal,System-level failure evidence in log semantics.,System-level failure evidence in log semantics.,application_level_evidence,64.0,True,system_fault,line,1. abnormal - System-level failure evidence in log semantics.,line,abnormal,1. abnormal - System-level failure evidence in log semantics.,False,False,False,False,,keep,1. abnormal - System-level failure evidence in log semantics.,5,6,0,1,FP,True
bgl_4210,bgl,test,normal,1118772739 2005.06.14 R26-M1-N1-C:J02-U11 2005-06-14-11.12.19.943362 R26-M1-N1-C:J02-U11 RAS KERNEL FATAL 28:1feaa7b0 29:00000001 30:000008ce 31:1feaa790,<NUM> <NUM>.<NUM>.<NUM> R26-M1-N1-C:J02-U11 <DATETIME>-<NUM>.<NUM>.<NUM>.<NUM> R26-M1-N1-C:J02-U11 RAS KERNEL FATAL <NUM>:<HEX> <NUM>:<NUM> <NUM>:<HEX> <NUM>:<HEX>,,abnormal,abnormal,System-level failure evidence in log semantics.,System-level failure evidence in log semantics.,system_level_evidence,94.0,True,system_fault,line,1. abnormal - System-level failure evidence in log semantics.,line,abnormal,1. abnormal - System-level failure evidence in log semantics.,False,False,False,False,,keep,1. abnormal - System-level failure evidence in log semantics.,5,6,0,1,FP,True
bgl_2352,bgl,test,normal,1118767180 2005.06.14 R21-M0-N7-C:J08-U11 2005-06-14-09.39.40.943434 R21-M0-N7-C:J08-U11 RAS KERNEL FATAL exception syndrome register: 0x00800000,<NUM> <NUM>.<NUM>.<NUM> R21-M0-N7-C:J08-U11 <DATETIME>-<NUM>.<NUM>.<NUM>.<NUM> R21-M0-N7-C:J08-U11 RAS KERNEL FATAL exception syndrome register: <HEX>,,abnormal,abnormal,System-level failure evidence in log semantics.,System-level failure evidence in log semantics.,system_level_evidence,94.0,True,system_fault,line,1. abnormal - System-level failure evidence in log semantics.,line,abnormal,1. abnormal - System-level failure evidence in log semantics.,False,False,False,False,,keep,1. abnormal - System-level failure evidence in log semantics.,5,6,0,1,FP,True
bgl_3581,bgl,test,normal,1118771808 2005.06.14 R21-M0-NA-C:J10-U11 2005-06-14-10.56.48.171951 R21-M0-NA-C:J10-U11 RAS KERNEL FATAL program interrupt: fp compare...............0,<NUM> <NUM>.<NUM>.<NUM> R21-M0-NA-C:J10-U11 <DATETIME>-<NUM>.<NUM>.<NUM>.<NUM> R21-M0-NA-C:J10-U11 RAS KERNEL FATAL program interrupt: fp compare...............<NUM>,,abnormal,abnormal,Explicit fatal signal in kernel level indicates potential system-level failure.,Explicit fatal signal in kernel level indicates potential system-level failure.,system_level_evidence,94.0,True,system_fault,line,1. abnormal - Explicit fatal signal in kernel level indicates potential system-level failure.,line,abnormal,1. abnormal - Explicit fatal signal in kernel level indicates potential system-level failure.,False,False,False,False,,keep,1. abnormal - Explicit fatal signal in kernel level indicates potential system-level failure.,5,6,0,1,FP,True
bgl_1420,bgl,test,normal,1132586033 2005.11.21 R26-M0-N0-I:J18-U11 2005-11-21-07.13.53.237745 R26-M0-N0-I:J18-U11 RAS KERNEL INFO MACHINE CHECK DCR read timeout (mc=e08x iar 0x00000000 lr 0xc00045a4),<NUM> <NUM>.<NUM>.<NUM> R26-M0-N0-I:J18-U11 <DATETIME>-<NUM>.<NUM>.<NUM>.<NUM> R26-M0-N0-I:J18-U11 RAS KERNEL INFO MACHINE CHECK DCR read timeout (mc=e08x iar <HEX> lr <HEX>),,abnormal,abnormal,System-level failure evidence in log semantics indicating a machine check DCR read timeout.,System-level failure evidence in log semantics indicating a machine check DCR read timeout.,system_level_evidence,96.0,True,system_fault,line,1. abnormal - System-level failure evidence in log semantics indicating a machine check DCR read timeout.,line,abnormal,1. abnormal - System-level failure evidence in log semantics indicating a machine check DCR read timeout.,False,False,False,False,,keep,1. abnormal - System-level failure evidence in log semantics indicating a machine check DCR read timeout.,5,6,0,1,FP,True
