sample_id,dataset,split,label_str,raw_log,normalized_log,template,llm_pred,final_pred,reason,raw_reason,evidence_type,relevance_score,is_key_evidence,diagnosis_label,parse_method,raw_parsed_line,initial_parse_method,initial_pred,initial_raw_response,first_pass_fallback,retry_changed_label,used_retry,used_keyword_fallback,fallback_source,verifier_action,raw_response,few_shot_count,context_size,format_bucket
thunderbird_916,thunderbird,test,normal,1131563444 2005.11.09 #1# Nov 9 11:10:44 #1#/#1# userhelper[14865]: pam_timestamp: updated timestamp file `/var/run/sudo/root/console',<NUM> <NUM>.<NUM>.<NUM> #<NUM># Nov <NUM> <TIME> #<NUM>#/#<NUM># userhelper[<NUM>]: pam_timestamp: updated timestamp file `<PATH>',,normal,normal,No clear system-level fatal evidence.,No clear system-level fatal evidence.,noise_benign_evidence,18.0,False,non_system_fault,line,1. normal - No clear system-level fatal evidence.,fallback_order_mapping,normal,[ID]. normal - No clear system-level fatal evidence.,True,False,True,False,,keep,1. normal - No clear system-level fatal evidence.,5,6,other
thunderbird_1745,thunderbird,test,normal,"1131564000 2005.11.09 cn824 Nov 9 11:20:00 cn824/cn824 ntpd[28608]: synchronized to 10.100.18.250, stratum 3","<NUM> <NUM>.<NUM>.<NUM> cn824 Nov <NUM> <TIME> cn824/cn824 ntpd[<NUM>]: synchronized to <IP>, stratum <NUM>",,normal,normal,[Non-critical/recoverable signal: synchronization status update.],[Non-critical/recoverable signal: synchronization status update.],context_evidence,42.0,False,non_system_fault,line,1. normal - [Non-critical/recoverable signal: synchronization status update.],fallback_order_mapping,normal,[ID]. normal - [Non-critical/recoverable signal: synchronization status update.],True,False,True,False,,keep,1. normal - [Non-critical/recoverable signal: synchronization status update.],5,6,other
thunderbird_1756,thunderbird,test,abnormal,"1131687583 2005.11.10 bn257 Nov 10 21:39:43 bn257/bn257 kernel: [KERNEL_IB][tsIbTavorMadProcess][/mnt_projects/sysapps/src/ib/topspin/topspin-src-3.2.0-16/ib/tavor/provider/obj_host_amd64_custom1_rhel4/ts_ib_tavor/tavor_mad.c:152]InfiniHost0: EVAPI_process_local_mad failed, return code = -254 (Fatal error (Local Catastrophic Error))","<NUM> <NUM>.<NUM>.<NUM> bn257 Nov <NUM> <TIME> bn257/bn257 kernel: [KERNEL_IB][tsIbTavorMadProcess][<PATH>:<NUM>]InfiniHost0: EVAPI_process_local_mad failed, return code = -<NUM> (Fatal error (Local Catastrophic Error))",,abnormal,abnormal,[KERNEL_IB] module reports a fatal error indicating a system-level failure.,[KERNEL_IB] module reports a fatal error indicating a system-level failure.,system_level_evidence,94.0,True,system_fault,line,1. abnormal - [KERNEL_IB] module reports a fatal error indicating a system-level failure.,fallback_order_mapping,abnormal,[ID]. abnormal - [KERNEL_IB] module reports a fatal error indicating a system-level failure.,True,False,True,False,,keep,1. abnormal - [KERNEL_IB] module reports a fatal error indicating a system-level failure.,5,6,repeated_output
thunderbird_4636,thunderbird,test,abnormal,"1131687304 2005.11.10 bn257 Nov 10 21:35:04 bn257/bn257 kernel: [KERNEL_IB][tsIbTavorMadProcess][/mnt_projects/sysapps/src/ib/topspin/topspin-src-3.2.0-16/ib/tavor/provider/obj_host_amd64_custom1_rhel4/ts_ib_tavor/tavor_mad.c:152]InfiniHost0: EVAPI_process_local_mad failed, return code = -254 (Fatal error (Local Catastrophic Error))","<NUM> <NUM>.<NUM>.<NUM> bn257 Nov <NUM> <TIME> bn257/bn257 kernel: [KERNEL_IB][tsIbTavorMadProcess][<PATH>:<NUM>]InfiniHost0: EVAPI_process_local_mad failed, return code = -<NUM> (Fatal error (Local Catastrophic Error))",,abnormal,abnormal,System-level failure evidence in log semantics.,System-level failure evidence in log semantics.,system_level_evidence,94.0,True,system_fault,line,1. abnormal - System-level failure evidence in log semantics.,fallback_order_mapping,abnormal,ID. abnormal - System-level failure evidence in log semantics.,True,False,True,False,,keep,1. abnormal - System-level failure evidence in log semantics.,5,6,repeated_output
thunderbird_1671,thunderbird,test,normal,"1131565883 2005.11.09 cn1018 Nov 9 11:51:23 cn1018/cn1018 ntpd[19600]: synchronized to 10.100.18.250, stratum 3","<NUM> <NUM>.<NUM>.<NUM> cn1018 Nov <NUM> <TIME> cn1018/cn1018 ntpd[<NUM>]: synchronized to <IP>, stratum <NUM>",,normal,normal,[normalized_log] indicates successful synchronization of NTP without explicit system-level failure signals.,[normalized_log] indicates successful synchronization of NTP without explicit system-level failure signals.,context_evidence,44.0,False,non_system_fault,line,1. normal - [normalized_log] indicates successful synchronization of NTP without explicit system-level failure signals.,fallback_order_mapping,normal,[ID]. normal - [normalized_log] indicates successful synchronization of NTP without explicit system-level failure signals.,True,False,True,False,,keep,1. normal - [normalized_log] indicates successful synchronization of NTP without explicit system-level failure signals.,5,6,repeated_output
thunderbird_24,thunderbird,test,normal,"1131565408 2005.11.09 cn637 Nov 9 11:43:28 cn637/cn637 ntpd[19240]: synchronized to 10.100.16.250, stratum 3","<NUM> <NUM>.<NUM>.<NUM> cn637 Nov <NUM> <TIME> cn637/cn637 ntpd[<NUM>]: synchronized to <IP>, stratum <NUM>",,normal,normal,[raw_log] indicates successful synchronization of NTP without any critical failure or system-level impact.,[raw_log] indicates successful synchronization of NTP without any critical failure or system-level impact.,context_evidence,44.0,False,non_system_fault,line,1. normal - [raw_log] indicates successful synchronization of NTP without any critical failure or system-level impact.,fallback_order_mapping,normal,[ID]. normal - [raw_log] indicates successful synchronization of NTP without any critical failure or system-level impact.,True,False,True,False,,keep,1. normal - [raw_log] indicates successful synchronization of NTP without any critical failure or system-level impact.,5,6,other
thunderbird_2139,thunderbird,test,normal,1131564628 2005.11.09 tbird-admin1 Nov 9 11:30:28 local@tbird-admin1 sshd(pam_unix)[2348]: session opened for user root by root(uid=0),<NUM> <NUM>.<NUM>.<NUM> tbird-admin1 Nov <NUM> <TIME> local@tbird-admin1 sshd(pam_unix)[<NUM>]: session opened for user root by root(uid=<NUM>),,normal,normal,No clear system-level fatal evidence.,No clear system-level fatal evidence.,noise_benign_evidence,18.0,False,non_system_fault,line,1. normal - No clear system-level fatal evidence.,fallback_order_mapping,normal,[ID]. normal - No clear system-level fatal evidence.,True,False,True,False,,keep,1. normal - No clear system-level fatal evidence.,5,6,other
thunderbird_712,thunderbird,test,abnormal,"1131688472 2005.11.10 bn257 Nov 10 21:54:32 bn257/bn257 kernel: [KERNEL_IB][tsIbTavorMadProcess][/mnt_projects/sysapps/src/ib/topspin/topspin-src-3.2.0-16/ib/tavor/provider/obj_host_amd64_custom1_rhel4/ts_ib_tavor/tavor_mad.c:152]InfiniHost0: EVAPI_process_local_mad failed, return code = -254 (Fatal error (Local Catastrophic Error))","<NUM> <NUM>.<NUM>.<NUM> bn257 Nov <NUM> <TIME> bn257/bn257 kernel: [KERNEL_IB][tsIbTavorMadProcess][<PATH>:<NUM>]InfiniHost0: EVAPI_process_local_mad failed, return code = -<NUM> (Fatal error (Local Catastrophic Error))",,abnormal,abnormal,System-level failure evidence in log semantics.,System-level failure evidence in log semantics.,system_level_evidence,94.0,True,system_fault,line,1. abnormal - System-level failure evidence in log semantics.,fallback_order_mapping,abnormal,ID. abnormal - System-level failure evidence in log semantics.,True,False,True,False,,keep,1. abnormal - System-level failure evidence in log semantics.,5,6,repeated_output
thunderbird_1414,thunderbird,test,normal,"1131564214 2005.11.09 cn32 Nov 9 11:23:34 cn32/cn32 ntpd[16725]: synchronized to 10.100.22.250, stratum 3","<NUM> <NUM>.<NUM>.<NUM> cn32 Nov <NUM> <TIME> cn32/cn32 ntpd[<NUM>]: synchronized to <IP>, stratum <NUM>",,normal,normal,[normalized_log] indicates successful synchronization of NTP without any critical or system-level failure signals.,[normalized_log] indicates successful synchronization of NTP without any critical or system-level failure signals.,context_evidence,44.0,False,non_system_fault,line,1. normal - [normalized_log] indicates successful synchronization of NTP without any critical or system-level failure signals.,fallback_order_mapping,normal,[ID]. normal - [normalized_log] indicates successful synchronization of NTP without any critical or system-level failure signals.,True,False,True,False,,keep,1. normal - [normalized_log] indicates successful synchronization of NTP without any critical or system-level failure signals.,5,6,repeated_output
thunderbird_932,thunderbird,test,normal,1131565493 2005.11.09 tbird-admin1 Nov 9 11:44:53 local@tbird-admin1 /apps/x86_64/system/ganglia-3.0.1/sbin/gmetad[1682]: data_thread() got not answer from any [Thunderbird_C1] datasource,<NUM> <NUM>.<NUM>.<NUM> tbird-admin1 Nov <NUM> <TIME> local@tbird-admin1 <PATH>[<NUM>]: data_thread() got not answer from any [Thunderbird_C1] datasource,,abnormal,abnormal,"Thunderbird_C1 datasource unresponsiveness detected by gmetad, indicating potential network or service-level issue.","Thunderbird_C1 datasource unresponsiveness detected by gmetad, indicating potential network or service-level issue.",application_level_evidence,66.0,True,system_fault,line,"1. abnormal - Thunderbird_C1 datasource unresponsiveness detected by gmetad, indicating potential network or service-level issue.",fallback_order_mapping,abnormal,"[ID]. abnormal - [Thunderbird_C1] datasource unresponsiveness detected by gmetad, indicating potential network or service-level issue.",True,False,True,False,,keep,"1. abnormal - Thunderbird_C1 datasource unresponsiveness detected by gmetad, indicating potential network or service-level issue.",5,4,repeated_output
